程序,,串行,"StoryBlock(35,true);",,,,,,,,,,
程序,,串行,CanSkip(true);,,,,,,,,,,
程序,,串行,SetUIMode(2);,,,,,,,,,,
程序,,串行,"SetChapter(01,边界徘徊的七等星)",,,,,,,,,,
立绘,点击触发,并行,切换图片,Miyazaki; A06_A07_信_烦恼.png; 0.2;,2;2;0;,-125;-1000;-125;-1000;0;,1;1;0;,,246;242;238;,,,,
文本,,并行,台词,1;1;0;,宫崎 信,你确定？回头要是庭审时律师质疑你有没有刑讯逼供，我可不会替你说话啊。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,我没说要刑讯逼供，不过审讯技巧我多少还是懂一点的。,34,蓝_B05_A14_草加_感兴趣.png,30,,,,
立绘,点击触发,并行,切换图片,Miyazaki; A06_A01_信_微笑.png; 0.2;,2;2;0;,-125;-1000;-125;-1000;0;,1;1;0;,,246;242;238;,,,,
文本,,并行,台词,1;1;0;,宫崎 信,别想那么容易哦。那小姑娘的表现，是铁了心要独自一人揽下嫌疑的。,34,,30,,,,
文本,点击触发,串行,头像,1;1;0;,草加 裕介,即使如此，也要问问才知道！,34,蓝_B05_A19_草加_谨慎.png,30,,,,
SE,点击触发,并行,布料拍打3.ogg,50,,,,,,,,,
立绘,,并行,选中图片,Miyazaki,2;2;0;,-125;-1000;-125;-900;1;,1;1;0;,,246;242;238;,,,,
文本,,并行,旁白,1;1;0;,,宫崎信笑着掸去腿上的灰尘，拄着拐杖缓缓站起了身。,34,,30,,,,
立绘,点击触发,并行,切换图片,Miyazaki; A06_A02_信_笑眯眯.png; 0.2;,2;2;0;,-125;-900;-125;-900;0;,1;1;0;,,246;242;238;,,,,
文本,,并行,台词,1;1;0;,宫崎 信,那你先问着，我去后面儿打个盹。,34,,30,,,,
程序,点击触发,串行,CanSkip(false);,,,,,,,,,,
程序,,串行,"StoryArrow(36,true);",,,,,,,,,,
程序,,串行,"VisionChange(2,sv_01_28.txt);",,,,,,,,,,
